rat	RAT | 1A7
lottery	LOT/-R | 5O7/-8
sung	SUNG | 7U2
tut	TUT | 8U7
deadline	DED/-L/-N | 6E5/-4/-6
potty	POT/-Y | 4O7/-3
cassette	K/SET | 2/7E7
celsius	SEL/-S/-S | 7E4/-1/-1
oral	OR/-L | O8/-4
bade	BAD | 3A5
rats	RAT/-S | 1A7/-1
dotted	DOT/-D | 6O7/-5
resulting	R/SUL/-T/-NG | 1/7U4/-7/-2
edit	ED/-T | E5/-7
settling	SET/-L/-NG | 7E7/-4/-2
lung	LUNG | 5U2
resulted	R/SUL/-T/-D | 1/7U4/-7/-5
bonnet	BON/-T | 3O6/-7
barley	BAR/-L/-Y | 3A8/-4/-3
den	DEN | 6E6
papa	P/PA | 4/4A
bilateral	B/LAT/-R/-L | 3/5A7/-8/-4
cunning	KUN/-NG | 2U6/-2
puddings	PUD/-NG/-S | 4U5/-2/-1
solidarity	S/L/DAR/-T | 7/5/6A8/-7
solidarity	SOL/-D/-R/-T | 7O4/-5/-8/-7
pads	PAD/-S | 4A5/-1
cuddle	KUD/-L | 2U5/-4
dots	DOT/-S | 6O7/-1
petty	PET/-Y | 4E7/-3
pal	PAL | 4A4
cot	KOT | 2O7
bunny	BUN/-Y | 3U6/-3
longing	LONG/-NG | 5O2/-2
scoring	S/KOR/-NG | 7/2O8/-2
bun	BUN | 3U6
tutorial	T/TOR/-L | 8/8O8/-4
editing	ED/-T/-NG | E5/-7/-2
tore	TOR | 8O8
slots	S/LOT/-S | 7/5O7/-1
slang	S/LANG | 7/5A2
cannon	KAN/-N | 2A6/-6
colony	KOL/-N | 2O4/-6
skull	S/KUL | 7/2U4
alley	AL/-Y | A4/-3
bung	BUNG | 3U2
bud	BUD | 3U5
skeleton	S/KEL/-T/-N | 7/2E4/-7/-6
ally	AL | A4
bullets	BUL/-T/-S | 3U4/-7/-1
runner	RUN/-R | 1U6/-8
sunset	SUN/-S/-T | 7U6/-1/-7
rot	ROT | 1O7
